strategy,label,annualized_return_pct,sharpe_ratio,total_return_pct
naive,Naive,-1.5158236026763916,-0.08991158185500626,-22.662914276123047
weighted,Weighted,-0.6216585636138916,0.01677478954835947,-9.960609436035156
top_50,Top 50%,0.8264692312366817,0.12890281762091482,14.853273353637464
top_25,Top 25%,-1.694925113712742,-0.07305711161834917,-24.995517852675853
top_75,Top 75%,5.623962625658452,0.40618099262011137,151.08037110506874
spy,SPY Benchmark,1.4650821685791016,0.17255006749128818,27.725971221923828
