strategy,label,annualized_return_pct,sharpe_ratio,total_return_pct
naive,Naive,1.0785222053527832,0.15459422432287562,19.780899047851562
weighted,Weighted,1.1418700218200684,0.15245320805855261,21.05034637451172
top_50,Top 50%,1.1052962165834623,0.14836688341739843,20.315854926540645
top_25,Top 25%,2.067390792927748,0.2256397562583222,41.10016345738625
top_75,Top 75%,3.546390532307675,0.2887360466032216,79.74291734098679
spy,SPY Benchmark,1.4650821685791016,0.17255006749128818,27.725971221923828
