strategy,label,annualized_return_pct,sharpe_ratio,total_return_pct
naive,Naive,-0.21106600761413574,-0.03158696318551553,-3.492581844329834
weighted,Weighted,-0.8284211158752441,-0.121694305699372,-13.06116008758545
top_50,Top 50%,-0.9542366443778261,-0.12093956259817472,-14.89845908225691
top_25,Top 25%,-0.15950686857731933,-0.006327179883010074,-2.6501592818180986
top_75,Top 75%,-2.963095532122484,-0.2673265002136166,-39.715074562058895
