strategy,label,annualized_return_pct,sharpe_ratio,total_return_pct
naive,Naive,-1.5544354915618896,-0.11389592860344706,-23.171430587768555
weighted,Weighted,-1.8150389194488525,-0.08923360154052808,-26.52263069152832
top_50,Top 50%,-1.8619178276844561,-0.07148729059127909,-27.110693122245564
top_25,Top 25%,-1.5403284721885568,-0.0764236461945181,-22.986012213279604
top_75,Top 75%,-4.144909877757974,-0.16332950746155248,-50.94671400235584
spy,SPY Benchmark,1.4650821685791016,0.17255006749128818,27.725971221923828
