strategy,label,annualized_return_pct,sharpe_ratio,total_return_pct
naive,Naive,1.7691969871520996,0.2142397459900702,34.32221221923828
weighted,Weighted,2.618134021759033,0.2603596397239783,54.47211456298828
top_50,Top 50%,2.5199809530899175,0.24384299254206765,52.00489884028991
top_25,Top 25%,1.6151354054194211,0.18814210166125495,30.941660724054152
top_75,Top 75%,2.665815937663707,0.23808376681584545,55.68425045550984
spy,SPY Benchmark,1.4650821685791016,0.17255006749128818,27.725971221923828
