strategy,label,annualized_return_pct,sharpe_ratio,total_return_pct
naive,Naive,-0.05990266799926758,0.04583788536684919,-1.003110408782959
weighted,Weighted,-0.17781853675842285,0.049962994155849906,-2.9501616954803467
top_50,Top 50%,-0.9615018126261976,0.002168977453771299,-15.003427937766478
top_25,Top 25%,-0.7006544009058091,0.004990539882393207,-11.157301798037755
top_75,Top 75%,1.9845985069837369,0.19983631982403677,39.1867428635853
spy,SPY Benchmark,1.4650821685791016,0.17255006749128818,27.725971221923828
