strategy,label,annualized_return_pct,sharpe_ratio,total_return_pct
naive,Naive,-2.2865593433380127,-0.19219098218993969,-32.23942947387695
weighted,Weighted,-3.281998634338379,-0.21052020870492713,-42.96323776245117
top_50,Top 50%,-2.8963012833859603,-0.14803026503357053,-39.01306469228434
top_25,Top 25%,-3.3655275102808413,-0.23277416801574852,-43.78640629303212
top_75,Top 75%,-5.427221628789313,-0.24769709492700526,-60.892880972409834
spy,SPY Benchmark,1.4650821685791016,0.17255006749128818,27.725971221923828
